,,,,,,,
,,,,,,,
,,Breckenridge,Park City,Telluride,Vail,Big Sky,Lake Tahoe
,Property 1 - Headline,"5BR Luxury Escape: Hot Tub, Views, Private Shuttle",Luxury Mountain Retreat with Hot Tub in Park City,Spacious Telluride Retreat w/ Private Hot Tub,West Vail Retreat | Steps to Ski + Private Hot Tub,Big Sky Chalet | Private Hot Tub + Mountain Views,Luxury Tahoe Vacation Rental w/HotTub & Lake Views
,Property 1 - Location,"Breckenridge, CO","Park City, UT","Mountain Village, CO","Vail, CO","Big Sky, MT","Tahoe Vista, CA"
,Property 1 - BR & BA,5 BR | 5 BA,5 BR | 6.5 BA,6 BR | 5.5 BA,5 BR | 6 BA,4 BR | 3.5 BA,6 BR | 4.5 BA
,Property 1 - Link,https://stay.golocalvr.com/property/6661f3c746ad150010fc8edc,https://stay.golocalvr.com/property/6644e2246fc9e3002905c240,https://stay.golocalvr.com/property/67deb52b3ac88100122e9375,https://stay.golocalvr.com/property/68c98924d8b9670033712e13,https://stay.golocalvr.com/property/689a4d7a7ca5980010f2ac0c,https://stay.golocalvr.com/property/666b0d8a0a087400135fa303
,Property 2 - Headline,Stunning Shock Hill Mansion - Steps To Gondola!,"Luxe Park City Estate | Hot Tub, Pickleball, Views",Luxury Telluride Retreat – Hot Tub & Mountain View,Cascade Village 4BR | Hot Tub + Shuttle Access,Big Sky Haven | Hot Tub + Fireplace + Views,Luxurious 7BR - Walk to Beach & Bus Stop!
,Property 2 - Location,"Breckenridge, CO","Park City, UT","Mountain Village, CO","Vail, CO","Big Sky, MT","Carnelian Bay, CA"
,Property 2 - BR & BA,5 BR | 5.5 BA,6 BR | 6.5 BA,4 BR | 5 BA,4 BR | 4.5 BA,5 BR | 5.5 BA,7 BR | 4 BA
,Property 2 - Link,https://stay.golocalvr.com/property/6661e34ef2b26900116533d8,https://stay.golocalvr.com/property/69050c591c02610011fcf03d,https://stay.golocalvr.com/property/67cf5619fd70ba00122251f2,https://stay.golocalvr.com/property/6811197fcc5def000f53acd5,https://stay.golocalvr.com/property/6900f7cc29d3600011b91c82,https://stay.golocalvr.com/property/662aa1119af4b100595cdca5
,Property 3 - Headline,"Gorgeous Home w/ Fire Pit, Walk to Ski Lifts!",Sleek Park City Main St Rental: Steps to Ski Lift,Scenic Mountain Village Stay | Hot Tub + Gym,Central Vail Stay | Cozy Interior + Deck Views,Moonlight Basin Retreat | Ski-In/Out + Patio,Creekside Retreat with Hot Tub & 3min to Slopes
,Property 3 - Location,"Breckenridge, CO","Park City, UT","Mountain Village, CO","Vail, CO","Big Sky, MT","Olympic Valley, CA"
,Property 3 - BR & BA,6 BR | 6.5 BA,3 BR | 3 BA,4 BR | 4.5 BA,4 BR | 3.5 BA,2 BR | 2 BA,5 BR | 6 BA
,Property 3 - Link,https://stay.golocalvr.com/property/6662217da72f680032ef1d1c,https://stay.golocalvr.com/property/6334cead5d216a0033e0e6e3,https://stay.golocalvr.com/property/665a01f26748540013691c9d,https://stay.golocalvr.com/property/68814063f75806002080676d,https://stay.golocalvr.com/property/68ddaba9d0b5d10011e34b96,https://stay.golocalvr.com/property/661443a95778af00129d4734
